Description Magic Courage Wisdom Temper Cunning
HarryPotter 8 10 5 8 3
RonWeasley 6 10 4 9 2
HermioneGranger 9 9 9 10 7
DracoMalfoy 7 4 3 10 9
RubeusHagrid 1 8 7 3 1
AlbusDumbledore 10 8 10 2 5
SiriusBlack 8 8 8 7 6
LordVoldemort 10 2 6 10 10
FredWeasley 7 9 4 7 8
GeorgeWeasley 7 9 4 7 8
PadmaPatil 7 5 3 5 3
ParvatiPatil 7 5 3 5 4
SeverusSnape 9 6 8 7 8
MinervaMcGonnagall 9 9 9 3 7
FiliusFlitwick 8 7 9 3 5
MadameHooch 6 6 7 4 3
MadEyeMoody 8 7 8 7 6
MollyWeasley 6 9 8 9 5
ArthurWeasley 6 8 8 3 2
NevilleLongbottom 5 9 4 5 2
LunaLovegood 4 8 6 4 3
DudleyDursley 0 0 1 10 2
RitaSkeeter 3 6 5 8 9
CedricDiggory 8 8 5 5 5
GinnyWeasley 8 8 4 8 6
BellatrixLestrange 9 6 5 10 9
LuciousMalfoy 8 4 5 7 10
Dobby 5 10 8 3 7
Winky 5 8 9 4 5
DoloresUmbridge 7 4 5 9 9
ArgusFilch 0 2 2 6 8
CorneliusFudge 6 3 5 6 7
BartyCrouch 7 5 5 7 7
FleurDelacour 7 7 4 9 6
RemusLupin 8 10 8 7 5
NymphadoraTonks 8 10 6 8 6
PeterPettigrew 6 1 4 7 9
HoraceSlughorn 7 5 7 5 7
Peeves 3 7 9 9 10
GilderoyLockhart 6 5 5 6 5
